shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
1.0781,-1.0063,-0.517,-0.33869,-0.090567,2.0789
1.081,-1.0043,-0.52179,-0.33989,-0.088173,2.0822
1.0839,-1.0023,-0.52662,-0.3411,-0.085754,2.0856
1.0869,-1.0003,-0.53151,-0.34232,-0.083309,2.0889
1.0898,-0.99821,-0.53645,-0.34355,-0.080839,2.0923
1.0928,-0.99613,-0.54145,-0.3448,-0.078343,2.0958
1.0958,-0.99403,-0.54649,-0.34606,-0.075821,2.0992
1.0989,-0.9919,-0.55158,-0.34734,-0.073274,2.1027
1.102,-0.98976,-0.55673,-0.34862,-0.070701,2.1063
1.1051,-0.98759,-0.56193,-0.34992,-0.068103,2.1098
1.1082,-0.98541,-0.56717,-0.35123,-0.065479,2.1134
1.1114,-0.9832,-0.57247,-0.35256,-0.062829,2.1171
1.1146,-0.98097,-0.57782,-0.3539,-0.060154,2.1208
1.1179,-0.97872,-0.58323,-0.35525,-0.057453,2.1245
1.1212,-0.97645,-0.58868,-0.35661,-0.054727,2.1282
1.1245,-0.97415,-0.59418,-0.35799,-0.051975,2.132
1.1278,-0.97184,-0.59974,-0.35937,-0.049197,2.1358
1.1312,-0.9695,-0.60534,-0.36078,-0.046394,2.1397
1.1345,-0.96715,-0.611,-0.36219,-0.043565,2.1436
1.138,-0.96477,-0.61671,-0.36362,-0.040711,2.1475
1.1414,-0.96237,-0.62247,-0.36506,-0.037831,2.1515
1.1449,-0.95995,-0.62828,-0.36651,-0.034925,2.1555
1.1484,-0.9575,-0.63414,-0.36798,-0.031994,2.1595
1.152,-0.95504,-0.64006,-0.36945,-0.029037,2.1636
1.1556,-0.95255,-0.64602,-0.37095,-0.026055,2.1677
1.1592,-0.95005,-0.65204,-0.37245,-0.023047,2.1718
1.1628,-0.94752,-0.65811,-0.37397,-0.020013,2.176
1.1665,-0.94497,-0.66422,-0.3755,-0.016954,2.1802
1.1702,-0.9424,-0.67039,-0.37704,-0.013869,2.1844
1.1739,-0.93981,-0.67661,-0.37859,-0.010759,2.1887
1.1777,-0.93719,-0.68289,-0.38016,-0.0076226,2.193
1.1815,-0.93456,-0.68921,-0.38174,-0.004461,2.1973
1.1853,-0.9319,-0.69558,-0.38334,-0.0012738,2.2017
1.1892,-0.92923,-0.70201,-0.38494,0.001939,2.2061
1.193,-0.92653,-0.70849,-0.38656,0.0051774,2.2106
1.197,-0.92381,-0.71501,-0.38819,0.0084414,2.2151
1.2009,-0.92107,-0.72159,-0.38984,0.011731,2.2196
1.2049,-0.9183,-0.72822,-0.3915,0.015046,2.2242
1.2089,-0.91552,-0.73491,-0.39317,0.018387,2.2288
1.2129,-0.91271,-0.74164,-0.39485,0.021753,2.2334
1.217,-0.90989,-0.74842,-0.39655,0.025145,2.2381
1.2211,-0.90704,-0.75526,-0.39825,0.028563,2.2428
1.2252,-0.90417,-0.76214,-0.39998,0.032006,2.2475
1.2294,-0.90128,-0.76908,-0.40171,0.035475,2.2523
1.2336,-0.89837,-0.77607,-0.40346,0.038969,2.2571
1.2378,-0.89543,-0.78311,-0.40522,0.042489,2.2619
1.2421,-0.89248,-0.7902,-0.40699,0.046035,2.2668
1.2464,-0.8895,-0.79734,-0.40878,0.049606,2.2717
1.2507,-0.88651,-0.80454,-0.41057,0.053203,2.2766
1.255,-0.88349,-0.81178,-0.41239,0.056825,2.2816
1.2594,-0.88045,-0.81908,-0.41421,0.060473,2.2866
1.2638,-0.87739,-0.82643,-0.41605,0.064147,2.2917
1.2682,-0.8743,-0.83382,-0.4179,0.067846,2.2968
1.2727,-0.8712,-0.84127,-0.41976,0.071571,2.3019
1.2772,-0.86807,-0.84877,-0.42163,0.075321,2.307
1.2817,-0.86493,-0.85633,-0.42352,0.079097,2.3122
1.2863,-0.86176,-0.86393,-0.42542,0.082899,2.3175
1.2909,-0.85857,-0.87158,-0.42734,0.086726,2.3227
1.2955,-0.85536,-0.87929,-0.42926,0.090579,2.328
1.3002,-0.85213,-0.88705,-0.4312,0.094457,2.3334
1.3049,-0.84887,-0.89485,-0.43315,0.098361,2.3387
1.3096,-0.8456,-0.90271,-0.43512,0.10229,2.3441
1.3143,-0.8423,-0.91062,-0.4371,0.10625,2.3496
1.3191,-0.83899,-0.91859,-0.43909,0.11023,2.355
1.3239,-0.83565,-0.9266,-0.44109,0.11423,2.3605
1.3287,-0.83229,-0.93466,-0.44311,0.11827,2.3661
1.3336,-0.82891,-0.94278,-0.44513,0.12232,2.3717
