shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
1.0641,-1.0788,1.3686,0.60002,2.0529,0.2741
1.0669,-1.0775,1.3637,0.60511,2.0591,0.2794
1.0697,-1.0762,1.3588,0.61012,2.0652,0.28466
1.0725,-1.0748,1.3538,0.61505,2.0713,0.28989
1.0754,-1.0734,1.3487,0.61991,2.0772,0.29507
1.0782,-1.072,1.3435,0.62467,2.0831,0.30021
1.0811,-1.0706,1.3383,0.62936,2.0889,0.30531
1.084,-1.0692,1.333,0.63397,2.0946,0.31037
1.087,-1.0677,1.3276,0.63849,2.1003,0.31539
1.0899,-1.0663,1.3221,0.64294,2.1059,0.32037
1.0929,-1.0648,1.3166,0.6473,2.1114,0.32531
1.0959,-1.0633,1.311,0.65158,2.1169,0.33021
1.0989,-1.0618,1.3053,0.65577,2.1222,0.33507
1.1019,-1.0602,1.2995,0.65989,2.1275,0.33989
1.1049,-1.0587,1.2937,0.66392,2.1327,0.34467
1.108,-1.0571,1.2877,0.66787,2.1379,0.34942
1.1111,-1.0555,1.2818,0.67174,2.1429,0.35412
1.1142,-1.0539,1.2757,0.67552,2.1479,0.35878
1.1173,-1.0523,1.2695,0.67922,2.1528,0.3634
1.1205,-1.0506,1.2633,0.68284,2.1577,0.36799
1.1236,-1.049,1.257,0.68638,2.1624,0.37253
1.1268,-1.0473,1.2507,0.68983,2.1671,0.37703
1.13,-1.0456,1.2442,0.6932,2.1717,0.3815
1.1332,-1.0439,1.2377,0.69649,2.1762,0.38592
1.1364,-1.0422,1.2311,0.69969,2.1807,0.39031
1.1397,-1.0404,1.2245,0.70281,2.1851,0.39466
1.143,-1.0386,1.2178,0.70585,2.1894,0.39896
1.1463,-1.0369,1.211,0.70881,2.1936,0.40323
1.1496,-1.0351,1.2041,0.71168,2.1978,0.40746
1.1529,-1.0332,1.1971,0.71446,2.2018,0.41166
1.1563,-1.0314,1.1901,0.71717,2.2058,0.41581
1.1596,-1.0295,1.183,0.71979,2.2097,0.41992
1.163,-1.0277,1.1758,0.72233,2.2136,0.424
1.1664,-1.0258,1.1686,0.72478,2.2173,0.42803
1.1699,-1.0239,1.1613,0.72715,2.221,0.43203
1.1733,-1.022,1.1539,0.72944,2.2246,0.43599
1.1768,-1.02,1.1464,0.73164,2.2281,0.43992
1.1803,-1.0181,1.1389,0.73376,2.2316,0.4438
1.1838,-1.0161,1.1313,0.7358,2.2349,0.44765
1.1873,-1.0141,1.1236,0.73776,2.2382,0.45145
1.1908,-1.0121,1.1159,0.73963,2.2414,0.45522
1.1944,-1.0101,1.1081,0.74141,2.2446,0.45896
1.1979,-1.008,1.1002,0.74312,2.2476,0.46265
1.2015,-1.006,1.0923,0.74474,2.2506,0.46631
1.2051,-1.0039,1.0843,0.74627,2.2535,0.46993
1.2088,-1.0018,1.0762,0.74773,2.2563,0.47352
1.2124,-0.99971,1.068,0.7491,2.2591,0.47706
1.2161,-0.99758,1.0598,0.75038,2.2617,0.48058
1.2198,-0.99545,1.0515,0.75159,2.2643,0.48405
1.2235,-0.99329,1.0431,0.75271,2.2668,0.48749
1.2272,-0.99112,1.0347,0.75375,2.2692,0.49089
1.2309,-0.98893,1.0262,0.7547,2.2716,0.49425
1.2347,-0.98673,1.0176,0.75558,2.2738,0.49758
1.2384,-0.98451,1.009,0.75637,2.276,0.50087
1.2422,-0.98228,1.0003,0.75707,2.2781,0.50413
1.246,-0.98003,0.99154,0.7577,2.2802,0.50735
1.2498,-0.97776,0.98271,0.75824,2.2821,0.51054
1.2537,-0.97548,0.97381,0.7587,2.284,0.51369
1.2575,-0.97319,0.96485,0.75908,2.2858,0.5168
1.2614,-0.97088,0.95582,0.75937,2.2875,0.51988
1.2653,-0.96855,0.94673,0.75958,2.2891,0.52293
1.2692,-0.96621,0.93758,0.75971,2.2907,0.52594
1.2731,-0.96385,0.92836,0.75976,2.2921,0.52892
1.2771,-0.96148,0.91907,0.75973,2.2935,0.53186
1.281,-0.95909,0.90972,0.75962,2.2948,0.53477
1.285,-0.95669,0.90031,0.75942,2.2961,0.53764
1.289,-0.95428,0.89084,0.75914,2.2972,0.54048
1.293,-0.95185,0.88131,0.75878,2.2983,0.54329
1.297,-0.94941,0.87171,0.75834,2.2993,0.54606
1.301,-0.94695,0.86205,0.75782,2.3002,0.5488
1.3051,-0.94448,0.85233,0.75722,2.3011,0.55151
1.3092,-0.94199,0.84255,0.75654,2.3018,0.55418
1.3132,-0.93949,0.83271,0.75577,2.3025,0.55682
1.3173,-0.93698,0.82281,0.75493,2.3031,0.55943
1.3214,-0.93446,0.81285,0.75401,2.3037,0.56201
1.3256,-0.93192,0.80283,0.753,2.3041,0.56456
